geoUnit,year,Number of years of compulsory primary and secondary education guaranteed in legal frameworks
PAK,2007,12
PAK,2008,12
PAK,2009,12
PAK,2010,12
PAK,2011,12
PAK,2012,12
PAK,2013,12
PAK,2014,12
PAK,2015,12
PAK,2016,12
PAK,2017,12
PAK,2018,12
PAK,2019,12
PAK,2020,12
PAK,2021,12
PAK,2022,12
PAK,2023,12
PAK,2024,12
PAN,2000,9
PAN,2001,9
PAN,2002,9
PAN,2003,9
PAN,2004,9
PAN,2005,9
PAN,2006,9
PAN,2007,9
PAN,2008,9
PAN,2009,9
PAN,2010,9
PAN,2011,9
PAN,2012,9
PAN,2013,9
PAN,2014,9
PAN,2015,9
PAN,2016,9
PAN,2017,9
PAN,2018,9
PAN,2019,9
PAN,2020,9
PAN,2021,9
PAN,2022,9
PAN,2023,9
PER,2000,11
PER,2001,11
PER,2002,11
PER,2003,11
PER,2004,11
PER,2005,11
PER,2006,11
PER,2007,11
PER,2008,11
PER,2009,11
PER,2010,11
PER,2011,11
PER,2012,11
PER,2013,11
PER,2014,11
PER,2015,11
PER,2016,11
PER,2017,11
PER,2018,11
PER,2019,11
PER,2020,11
PER,2021,11
PER,2022,11
PER,2023,11
PHL,2000,10
PHL,2001,10
PHL,2002,10
PHL,2003,10
PHL,2004,10
PHL,2005,10
PHL,2006,10
PHL,2007,10
PHL,2008,10
PHL,2009,10
PHL,2010,10
PHL,2011,10
PHL,2012,10
PHL,2013,10
PHL,2014,10
PHL,2015,10
PHL,2016,10
PHL,2017,10
PHL,2018,12
PHL,2019,12
PHL,2020,12
PHL,2021,12
PHL,2022,12
PHL,2023,12
PHL,2024,12
PLW,2000,0
PLW,2001,12
PLW,2002,12
PLW,2003,12
PLW,2004,12
PLW,2005,12
PLW,2006,12
PLW,2007,12
PLW,2008,12
PLW,2009,12
PLW,2010,12
PLW,2011,12
PLW,2012,12
PLW,2013,12
PLW,2014,12
PLW,2015,12
PLW,2016,12
PLW,2017,12
PLW,2018,12
PLW,2019,12
PLW,2020,12
PLW,2021,12
PLW,2022,12
PLW,2023,12
PLW,2024,12
PNG,2000,0
PNG,2001,0
PNG,2002,0
PNG,2003,0
PNG,2004,0
PNG,2005,0
PNG,2006,0
PNG,2007,0
PNG,2008,0
PNG,2009,0
PNG,2010,0
PNG,2011,0
PNG,2012,0
PNG,2013,0
PNG,2014,0
PNG,2015,0
PNG,2016,0
PNG,2017,0
PNG,2018,0
PNG,2019,0
PNG,2020,0
PNG,2021,0
PNG,2022,0
PNG,2023,0
PNG,2024,0
POL,2000,9
POL,2001,9
POL,2002,9
POL,2003,9
POL,2004,9
POL,2005,9
POL,2006,9
POL,2007,9
POL,2008,9
POL,2009,9
POL,2010,9
POL,2011,9
POL,2012,9
POL,2013,9
POL,2014,9
POL,2015,9
POL,2016,9
POL,2017,9
POL,2018,9
POL,2019,9
POL,2020,8
POL,2021,8
POL,2022,8
POL,2023,8
PRI,2000,12
PRI,2001,12
PRI,2002,12
PRI,2003,12
PRI,2004,12
PRI,2005,12
PRI,2006,12
PRI,2007,12
PRI,2008,12
PRI,2009,12
PRI,2010,12
PRI,2011,12
PRI,2012,12
PRI,2013,12
PRI,2014,12
PRI,2015,12
PRI,2016,12
PRI,2017,12
PRI,2018,12
PRI,2019,12
PRI,2020,12
PRI,2021,12
PRI,2022,12
PRI,2023,12
PRK,2000,10
PRK,2001,10
PRK,2002,10
PRK,2003,10
PRK,2004,10
PRK,2005,10
PRK,2006,10
PRK,2007,10
PRK,2008,10
PRK,2009,10
PRK,2010,10
PRK,2011,10
PRK,2012,10
PRK,2013,10
PRK,2014,11
PRK,2015,11
PRK,2016,11
PRK,2017,11
PRK,2018,11
PRK,2019,11
PRK,2020,11
PRK,2021,11
PRK,2022,11
PRK,2023,11
PRK,2024,11
PRT,2000,9
PRT,2001,9
PRT,2002,9
PRT,2003,9
PRT,2004,9
PRT,2005,9
PRT,2006,9
PRT,2007,9
PRT,2008,9
PRT,2009,12
PRT,2010,12
PRT,2011,12
PRT,2012,12
PRT,2013,12
PRT,2014,12
PRT,2015,12
PRT,2016,12
PRT,2017,12
PRT,2018,12
PRT,2019,12
PRT,2020,12
PRT,2021,12
PRT,2022,12
PRT,2023,12
PRY,2000,9
PRY,2001,9
PRY,2002,9
PRY,2003,9
PRY,2004,9
PRY,2005,9
PRY,2006,9
PRY,2007,9
PRY,2008,9
PRY,2009,9
PRY,2010,9
PRY,2011,12
PRY,2012,12
PRY,2013,12
PRY,2014,12
PRY,2015,12
PRY,2016,12
PRY,2017,12
PRY,2018,12
PRY,2019,12
PRY,2020,12
PRY,2021,12
PRY,2022,12
PRY,2023,12
PRY,2024,12
PSE,2000,10
PSE,2001,10
PSE,2002,10
PSE,2003,10
PSE,2004,10
PSE,2005,10
PSE,2006,10
PSE,2007,10
PSE,2008,10
PSE,2009,10
PSE,2010,10
PSE,2011,10
PSE,2012,10
PSE,2013,10
PSE,2014,10
PSE,2015,10
PSE,2016,10
PSE,2017,10
PSE,2018,10
PSE,2019,10
PSE,2020,10
PSE,2021,10
PSE,2022,10
PSE,2023,10
QAT,2000,0
QAT,2001,9
QAT,2002,9
QAT,2003,9
QAT,2004,9
QAT,2005,9
QAT,2006,9
QAT,2007,9
QAT,2008,9
QAT,2009,9
QAT,2010,9
QAT,2011,9
QAT,2012,9
QAT,2013,9
QAT,2014,9
QAT,2015,9
QAT,2016,9
QAT,2017,9
QAT,2018,9
QAT,2019,9
QAT,2020,9
QAT,2021,12
QAT,2022,12
QAT,2023,12
REU,2018,0
REU,2019,0
REU,2020,0
REU,2021,0
REU,2022,0
REU,2023,0
ROU,2000,8
ROU,2001,8
ROU,2002,8
ROU,2003,10
ROU,2004,10
ROU,2005,10
ROU,2006,10
ROU,2007,10
ROU,2008,10
ROU,2009,10
ROU,2010,10
ROU,2011,10
ROU,2012,10
ROU,2013,10
ROU,2014,10
ROU,2015,10
ROU,2016,10
ROU,2017,10
ROU,2018,10
ROU,2019,10
ROU,2020,10
ROU,2021,10
ROU,2022,10
ROU,2023,10
RUS,2000,8
RUS,2001,8
RUS,2002,8
RUS,2003,8
RUS,2004,9
RUS,2005,9
RUS,2006,9
RUS,2007,9
RUS,2008,9
RUS,2009,9
RUS,2010,9
RUS,2011,9
RUS,2012,9
RUS,2013,11
RUS,2014,11
RUS,2015,11
RUS,2016,11
RUS,2017,11
RUS,2018,11
RUS,2019,11
RUS,2020,11
RUS,2021,11
RUS,2022,11
RUS,2023,11
RWA,2000,6
RWA,2001,6
RWA,2002,6
RWA,2003,6
RWA,2004,6
RWA,2005,6
RWA,2006,6
RWA,2007,6
RWA,2008,6
RWA,2009,6
RWA,2010,6
RWA,2011,6
RWA,2012,6
RWA,2013,6
RWA,2014,6
RWA,2015,6
RWA,2016,6
RWA,2017,6
RWA,2018,6
RWA,2019,6
RWA,2020,6
RWA,2021,6
RWA,2022,6
RWA,2023,6
RWA,2024,6
SAU,2004,9
SAU,2005,9
SAU,2006,9
SAU,2007,9
SAU,2008,9
SAU,2009,9
SAU,2010,9
SAU,2011,9
SAU,2012,9
SAU,2013,9
SAU,2014,9
SAU,2015,9
SAU,2016,9
SAU,2017,9
SAU,2018,9
SAU,2019,9
SAU,2020,9
SAU,2021,9
SAU,2022,9
SAU,2023,9
SDN,2000,0
SDN,2001,0
SDN,2002,0
SDN,2003,0
SDN,2004,0
SDN,2005,6
SDN,2006,6
SDN,2007,6
SDN,2008,6
SDN,2009,6
SDN,2010,8
SDN,2011,8
SDN,2012,8
SDN,2013,8
SDN,2014,8
SDN,2015,8
SDN,2016,8
SDN,2017,8
SDN,2018,8
SDN,2019,8
SDN,2020,8
SDN,2021,8
SDN,2022,8
SDN,2023,8
SEN,2000,6
SEN,2001,6
SEN,2002,6
SEN,2003,6
SEN,2004,11
SEN,2005,11
SEN,2006,11
SEN,2007,11
SEN,2008,11
SEN,2009,11
SEN,2010,11
SEN,2011,11
SEN,2012,11
SEN,2013,11
SEN,2014,11
SEN,2015,11
SEN,2016,11
SEN,2017,11
SEN,2018,11
SEN,2019,11
SEN,2020,11
SEN,2021,11
SEN,2022,11
SEN,2023,11
SGP,2000,6
SGP,2001,6
SGP,2002,6
SGP,2003,6
SGP,2004,6
SGP,2005,6
SGP,2006,6
SGP,2007,6
SGP,2008,6
SGP,2009,6
SGP,2010,6
SGP,2011,6
SGP,2012,6
SGP,2013,6
SGP,2014,6
SGP,2015,6
SGP,2016,6
SGP,2017,6
SGP,2018,6
SGP,2019,6
SGP,2020,6
SGP,2021,6
SGP,2022,6
SGP,2023,6
SGP,2024,6
SHN,2018,0
SHN,2019,0
SHN,2020,0
SHN,2021,0
SHN,2022,0
SHN,2023,0
SLB,2000,0
SLB,2001,0
SLB,2002,0
SLB,2003,0
SLB,2004,0
SLB,2005,0
SLB,2006,0
SLB,2007,0
SLB,2008,0
SLB,2009,0
SLB,2010,0
SLB,2011,0
SLB,2012,0
SLB,2013,0
SLB,2014,0
SLB,2015,0
SLB,2016,0
SLB,2017,0
SLB,2018,0
SLB,2019,0
SLB,2020,0
SLB,2021,0
SLB,2022,0
SLB,2023,0
SLB,2024,0
SLE,2000,0
SLE,2001,0
SLE,2002,0
SLE,2003,0
SLE,2004,9
SLE,2005,9
SLE,2006,9
SLE,2007,9
SLE,2008,9
SLE,2009,9
SLE,2010,9
SLE,2011,9
SLE,2012,9
SLE,2013,9
SLE,2014,9
SLE,2015,9
SLE,2016,9
SLE,2017,9
SLE,2018,9
SLE,2019,9
SLE,2020,9
SLE,2021,9
SLE,2022,9
SLE,2023,9
SLV,2000,9
SLV,2001,9
SLV,2002,9
SLV,2003,9
SLV,2004,9
SLV,2005,9
SLV,2006,9
SLV,2007,9
SLV,2008,9
SLV,2009,9
SLV,2010,9
SLV,2011,9
SLV,2012,9
SLV,2013,9
SLV,2014,9
SLV,2015,9
SLV,2016,9
SLV,2017,9
SLV,2018,9
SLV,2019,9
SLV,2020,9
SLV,2021,9
SLV,2022,9
SLV,2023,9
SMR,2000,10
SMR,2001,10
SMR,2002,10
SMR,2003,10
SMR,2004,10
SMR,2005,10
SMR,2006,10
SMR,2007,10
SMR,2008,10
SMR,2009,10
SMR,2010,10
SMR,2011,10
SMR,2012,10
SMR,2013,10
SMR,2014,10
SMR,2015,10
SMR,2016,10
SMR,2017,10
SMR,2018,10
SMR,2019,10
SMR,2020,10
SMR,2021,10
SMR,2022,10
SMR,2023,10
SMR,2024,10
SOM,2000,0
SOM,2001,0
SOM,2002,0
SOM,2003,0
SOM,2004,0
SOM,2005,0
SOM,2006,0
SOM,2007,0
SOM,2008,0
SOM,2009,0
SOM,2010,0
SOM,2011,0
SOM,2012,0
SOM,2013,0
SOM,2014,0
SOM,2015,0
SOM,2016,0
SOM,2017,0
SOM,2018,0
SOM,2019,0
SOM,2020,0
SOM,2021,8
SOM,2022,8
SOM,2023,8
SRB,2000,8
SRB,2001,8
SRB,2002,8
SRB,2003,8
SRB,2004,8
SRB,2005,8
SRB,2006,8
SRB,2007,8
SRB,2008,8
SRB,2009,8
SRB,2010,8
SRB,2011,8
SRB,2012,8
SRB,2013,8
SRB,2014,8
SRB,2015,8
SRB,2016,8
SRB,2017,8
SRB,2018,8
SRB,2019,8
SRB,2020,8
SRB,2021,8
SRB,2022,8
SRB,2023,8
SSD,2008,8
SSD,2009,8
SSD,2010,8
SSD,2011,8
SSD,2012,8
SSD,2013,8
SSD,2014,8
SSD,2015,8
SSD,2016,8
SSD,2017,8
SSD,2018,8
SSD,2019,8
SSD,2020,8
SSD,2021,8
SSD,2022,8
SSD,2023,8
SSD,2024,8
STP,2000,6
STP,2001,6
STP,2002,6
STP,2003,6
STP,2004,6
STP,2005,6
STP,2006,6
STP,2007,6
STP,2008,6
STP,2009,6
STP,2010,6
STP,2011,6
STP,2012,6
STP,2013,6
STP,2014,6
STP,2015,6
STP,2016,6
STP,2017,6
STP,2018,6
STP,2019,6
STP,2020,6
STP,2021,6
STP,2022,6
STP,2023,6
STP,2024,6
SUR,2000,6
SUR,2001,6
SUR,2002,6
SUR,2003,6
SUR,2004,6
SUR,2005,6
SUR,2006,6
SUR,2007,6
SUR,2008,6
SUR,2009,6
SUR,2010,6
SUR,2011,6
SUR,2012,6
SUR,2013,6
SUR,2014,6
SUR,2015,6
SUR,2016,6
SUR,2017,6
SUR,2018,6
SUR,2019,6
SUR,2020,6
SUR,2021,6
SUR,2022,6
SUR,2023,6
SUR,2024,6
SVK,2000,10
SVK,2001,10
SVK,2002,10
SVK,2003,10
SVK,2004,10
SVK,2005,10
SVK,2006,10
SVK,2007,10
SVK,2008,10
SVK,2009,10
SVK,2010,10
SVK,2011,10
SVK,2012,10
SVK,2013,10
SVK,2014,10
SVK,2015,10
SVK,2016,10
SVK,2017,10
SVK,2018,10
SVK,2019,10
SVK,2020,10
SVK,2021,10
SVK,2022,10
SVK,2023,10
SVN,2000,8
SVN,2001,8
SVN,2002,8
SVN,2003,8
SVN,2004,9
SVN,2005,9
SVN,2006,9
SVN,2007,9
SVN,2008,9
SVN,2009,9
SVN,2010,9
SVN,2011,9
SVN,2012,9
SVN,2013,9
SVN,2014,9
SVN,2015,9
SVN,2016,9
SVN,2017,9
SVN,2018,9
SVN,2019,9
SVN,2020,9
SVN,2021,9
SVN,2022,9
SVN,2023,9
SWE,2000,9
SWE,2001,9
SWE,2002,9
SWE,2003,9
SWE,2004,9
SWE,2005,9
SWE,2006,9
SWE,2007,9
SWE,2008,9
SWE,2009,9
SWE,2010,9
SWE,2011,9
SWE,2012,9
SWE,2013,9
SWE,2014,9
SWE,2015,9
SWE,2016,9
SWE,2017,9
SWE,2018,9
SWE,2019,9
SWE,2020,9
SWE,2021,9
SWE,2022,9
SWE,2023,9
SWZ,2000,0
SWZ,2001,0
SWZ,2002,0
SWZ,2003,0
SWZ,2004,0
SWZ,2005,0
SWZ,2006,0
SWZ,2007,0
SWZ,2008,0
SWZ,2009,0
SWZ,2010,7
SWZ,2011,7
SWZ,2012,7
SWZ,2013,7
SWZ,2014,7
SWZ,2015,7
SWZ,2016,7
SWZ,2017,7
SWZ,2018,7
SWZ,2019,7
SWZ,2020,7
SWZ,2021,7
SWZ,2022,7
SWZ,2023,7
SXM,2000,11
SXM,2001,11
SXM,2002,11
SXM,2003,11
SXM,2004,11
SXM,2005,11
SXM,2006,11
SXM,2007,11
SXM,2008,11
SXM,2009,11
SXM,2010,11
SXM,2011,11
SXM,2012,11
SXM,2013,11
SXM,2014,11
SXM,2015,11
SXM,2016,11
SXM,2017,11
SXM,2018,11
SXM,2019,11
SXM,2020,11
SXM,2021,11
SXM,2022,11
SXM,2023,11
SYC,2000,10
SYC,2001,10
SYC,2002,10
SYC,2003,10
SYC,2004,10
SYC,2005,10
SYC,2006,10
SYC,2007,10
SYC,2008,10
SYC,2009,10
SYC,2010,10
SYC,2011,10
SYC,2012,10
SYC,2013,10
SYC,2014,10
SYC,2015,10
SYC,2016,11
SYC,2017,11
SYC,2018,11
SYC,2019,11
SYC,2020,11
SYC,2021,11
SYC,2022,11
SYC,2023,11
SYC,2024,11
SYR,2000,6
SYR,2001,6
SYR,2002,9
SYR,2003,9
SYR,2004,9
SYR,2005,9
SYR,2006,9
SYR,2007,9
SYR,2008,9
SYR,2009,9
SYR,2010,9
SYR,2011,9
SYR,2012,9
SYR,2013,9
SYR,2014,9
SYR,2015,9
SYR,2016,9
SYR,2017,9
SYR,2018,9
SYR,2019,9
SYR,2020,9
SYR,2021,9
SYR,2022,9
SYR,2023,9
TCA,2000,11
TCA,2001,11
TCA,2002,11
TCA,2003,11
TCA,2004,11
TCA,2005,11
TCA,2006,11
TCA,2007,11
TCA,2008,11
TCA,2009,11
TCA,2010,11
TCA,2011,11
TCA,2012,11
TCA,2013,11
TCA,2014,11
TCA,2015,11
TCA,2016,11
TCA,2017,11
TCA,2018,11
TCA,2019,11
TCA,2020,11
TCA,2021,11
TCA,2022,11
TCA,2023,11
TCD,2000,6
TCD,2001,6
TCD,2002,6
TCD,2003,6
TCD,2004,6
TCD,2005,6
TCD,2006,10
TCD,2007,10
TCD,2008,10
TCD,2009,10
TCD,2010,10
TCD,2011,10
TCD,2012,10
TCD,2013,10
TCD,2014,10
TCD,2015,10
TCD,2016,10
TCD,2017,10
TCD,2018,10
TCD,2019,10
TCD,2020,10
TCD,2021,10
TCD,2022,10
TCD,2023,10
TGO,2000,10
TGO,2001,10
TGO,2002,10
TGO,2003,10
TGO,2004,10
TGO,2005,10
TGO,2006,10
TGO,2007,10
TGO,2008,10
TGO,2009,10
TGO,2010,10
TGO,2011,10
TGO,2012,10
TGO,2013,10
TGO,2014,10
TGO,2015,10
TGO,2016,10
TGO,2017,10
TGO,2018,10
TGO,2019,10
TGO,2020,10
TGO,2021,10
TGO,2022,10
TGO,2023,10
THA,2000,9
THA,2001,9
THA,2002,9
THA,2003,9
THA,2004,9
THA,2005,9
THA,2006,9
THA,2007,9
THA,2008,9
THA,2009,9
THA,2010,9
THA,2011,9
THA,2012,9
THA,2013,9
THA,2014,9
THA,2015,9
THA,2016,9
THA,2017,9
THA,2018,9
THA,2019,9
THA,2020,9
THA,2021,9
THA,2022,9
THA,2023,9
THA,2024,9
TJK,2000,9
TJK,2001,9
TJK,2002,9
TJK,2003,9
TJK,2004,9
TJK,2005,9
TJK,2006,9
TJK,2007,9
TJK,2008,9
TJK,2009,9
TJK,2010,9
TJK,2011,9
TJK,2012,9
TJK,2013,9
TJK,2014,9
TJK,2015,9
TJK,2016,9
TJK,2017,9
TJK,2018,9
TJK,2019,9
TJK,2020,9
TJK,2021,9
TJK,2022,9
TJK,2023,9
TJK,2024,9
TKL,2000,0
TKL,2001,0
TKL,2002,0
TKL,2003,11
TKL,2004,11
TKL,2005,11
TKL,2006,11
TKL,2007,11
TKL,2008,11
TKL,2009,11
TKL,2010,11
TKL,2011,11
TKL,2012,11
TKL,2013,11
TKL,2014,11
TKL,2015,11
TKL,2016,11
TKL,2017,11
TKL,2018,11
TKL,2019,11
TKL,2020,11
TKL,2021,11
TKL,2022,11
TKL,2023,11
TKL,2024,11
TKM,2000,9
TKM,2001,9
TKM,2002,9
TKM,2003,9
TKM,2004,9
TKM,2005,9
TKM,2006,9
TKM,2007,9
TKM,2008,9
TKM,2009,10
TKM,2010,10
TKM,2011,10
TKM,2012,10
TKM,2013,10
TKM,2014,12
TKM,2015,12
TKM,2016,12
TKM,2017,12
TKM,2018,12
TKM,2019,12
TKM,2020,12
TKM,2021,12
TKM,2022,12
TKM,2023,12
TKM,2024,12
TLS,2000,6
TLS,2001,6
TLS,2002,6
TLS,2003,6
TLS,2004,6
TLS,2005,6
TLS,2006,6
TLS,2007,6
TLS,2008,9
TLS,2009,9
TLS,2010,9
TLS,2011,9
TLS,2012,9
TLS,2013,9
TLS,2014,9
TLS,2015,9
TLS,2016,9
TLS,2017,9
TLS,2018,9
TLS,2019,9
TLS,2020,9
TLS,2021,9
TLS,2022,9
TLS,2023,9
TLS,2024,9
TON,2000,6
TON,2001,6
TON,2002,6
TON,2003,6
TON,2004,6
TON,2005,6
TON,2006,6
TON,2007,6
TON,2008,6
TON,2009,6
TON,2010,6
TON,2011,6
TON,2012,8
TON,2013,8
TON,2014,13
TON,2015,13
TON,2016,13
TON,2017,13
TON,2018,13
TON,2019,13
TON,2020,13
TON,2021,13
TON,2022,13
TON,2023,13
TTO,2000,6
TTO,2001,6
TTO,2002,6
TTO,2003,6
TTO,2004,6
TTO,2005,6
TTO,2006,6
TTO,2007,6
TTO,2008,6
TTO,2009,6
TTO,2010,6
TTO,2011,6
TTO,2012,6
TTO,2013,6
TTO,2014,7
TTO,2015,7
TTO,2016,7
TTO,2017,7
TTO,2018,7
TTO,2019,7
TTO,2020,7
TTO,2021,7
TTO,2022,7
TTO,2023,7
TTO,2024,7
TUN,2002,9
TUN,2003,9
TUN,2004,9
TUN,2005,9
TUN,2006,9
TUN,2007,9
TUN,2008,9
TUN,2009,9
TUN,2010,9
TUN,2011,9
TUN,2012,9
TUN,2013,9
TUN,2014,9
TUN,2015,9
TUN,2016,9
TUN,2017,9
TUN,2018,9
TUN,2019,9
TUN,2020,9
TUN,2021,9
TUN,2022,9
TUN,2023,9
TUR,2000,8
TUR,2001,8
TUR,2002,8
TUR,2003,8
TUR,2004,8
TUR,2005,8
TUR,2006,8
TUR,2007,8
TUR,2008,8
TUR,2009,8
TUR,2010,8
TUR,2011,8
TUR,2012,12
TUR,2013,12
TUR,2014,12
TUR,2015,12
TUR,2016,12
TUR,2017,12
TUR,2018,12
TUR,2019,12
TUR,2020,12
TUR,2021,12
TUR,2022,12
TUR,2023,12
TUV,2000,0
TUV,2001,0
TUV,2002,0
TUV,2003,0
TUV,2004,0
TUV,2005,0
TUV,2006,0
TUV,2007,0
TUV,2008,8
TUV,2009,8
TUV,2010,8
TUV,2011,8
TUV,2012,8
TUV,2013,8
TUV,2014,8
TUV,2015,8
TUV,2016,8
TUV,2017,8
TUV,2018,9
TUV,2019,9
TUV,2020,9
TUV,2021,9
TUV,2022,9
TUV,2023,9
TUV,2024,9
TZA,2000,7
TZA,2001,7
TZA,2002,7
TZA,2003,7
TZA,2004,7
TZA,2005,7
TZA,2006,7
TZA,2007,7
TZA,2008,7
TZA,2009,7
TZA,2010,7
TZA,2011,7
TZA,2012,7
TZA,2013,7
TZA,2014,7
TZA,2015,7
TZA,2016,7
TZA,2017,7
TZA,2018,7
TZA,2019,7
TZA,2020,7
TZA,2021,7
TZA,2022,7
TZA,2023,7
TZA,2024,7
UGA,2000,0
UGA,2001,0
UGA,2002,0
UGA,2003,0
UGA,2004,0
UGA,2005,0
UGA,2006,0
UGA,2007,0
UGA,2008,7
UGA,2009,7
UGA,2010,7
UGA,2011,7
UGA,2012,7
UGA,2013,7
UGA,2014,7
UGA,2015,7
UGA,2016,7
UGA,2017,7
UGA,2018,7
UGA,2019,7
UGA,2020,7
UGA,2021,7
UGA,2022,7
UGA,2023,7
UKR,2000,10
UKR,2001,10
UKR,2002,10
UKR,2003,11
UKR,2004,11
UKR,2005,11
UKR,2006,11
UKR,2007,11
UKR,2008,11
UKR,2009,11
UKR,2010,11
UKR,2011,11
UKR,2012,11
UKR,2013,11
UKR,2014,11
UKR,2015,11
UKR,2016,11
UKR,2017,11
UKR,2018,11
UKR,2019,11
UKR,2020,11
UKR,2021,11
UKR,2022,11
UKR,2023,11
UKR,2024,11
URY,2000,9
URY,2001,9
URY,2002,9
URY,2003,9
URY,2004,9
URY,2005,9
URY,2006,9
URY,2007,9
URY,2008,12
URY,2009,12
URY,2010,12
URY,2011,12
URY,2012,12
URY,2013,12
URY,2014,12
URY,2015,12
URY,2016,12
URY,2017,12
URY,2018,12
URY,2019,12
URY,2020,12
URY,2021,12
URY,2022,12
URY,2023,12
USA,2000,12
USA,2001,12
USA,2002,12
USA,2003,12
USA,2004,12
USA,2005,12
USA,2006,12
USA,2007,12
USA,2008,12
USA,2009,12
USA,2010,12
USA,2011,12
USA,2012,12
USA,2013,12
USA,2014,12
USA,2015,12
USA,2016,12
USA,2017,12
USA,2018,12
USA,2019,12
USA,2020,12
USA,2021,12
USA,2022,12
USA,2023,12
USA,2024,12
UZB,2000,11
UZB,2001,11
UZB,2002,11
UZB,2003,11
UZB,2004,11
UZB,2005,11
UZB,2006,11
UZB,2007,11
UZB,2008,11
UZB,2009,11
UZB,2010,11
UZB,2011,12
UZB,2012,12
UZB,2013,12
UZB,2014,12
UZB,2015,12
UZB,2016,12
UZB,2017,12
UZB,2018,12
UZB,2019,12
UZB,2020,12
UZB,2021,12
UZB,2022,12
UZB,2023,12
UZB,2024,11
VCT,2000,0
VCT,2001,0
VCT,2002,0
VCT,2003,0
VCT,2004,0
VCT,2005,12
VCT,2006,12
VCT,2007,12
VCT,2008,12
VCT,2009,12
VCT,2010,12
VCT,2011,12
VCT,2012,12
VCT,2013,12
VCT,2014,12
VCT,2015,12
VCT,2016,12
VCT,2017,12
VCT,2018,12
VCT,2019,12
VCT,2020,12
VCT,2021,12
VCT,2022,12
VCT,2023,12
VEN,2000,11
VEN,2001,11
VEN,2002,11
VEN,2003,11
VEN,2004,11
VEN,2005,11
VEN,2006,11
VEN,2007,11
VEN,2008,11
VEN,2009,11
VEN,2010,11
VEN,2011,11
VEN,2012,11
VEN,2013,11
VEN,2014,11
VEN,2015,11
VEN,2016,11
VEN,2017,11
VEN,2018,11
VEN,2019,11
VEN,2020,11
VEN,2021,11
VEN,2022,11
VEN,2023,11
VEN,2024,11
VGB,2000,12
VGB,2001,12
VGB,2002,12
VGB,2003,12
VGB,2004,12
VGB,2005,12
VGB,2006,12
VGB,2007,12
VGB,2008,12
VGB,2009,12
VGB,2010,12
VGB,2011,12
VGB,2012,12
VGB,2013,12
VGB,2014,12
VGB,2015,12
VGB,2016,12
VGB,2017,12
VGB,2018,12
VGB,2019,12
VGB,2020,12
VGB,2021,12
VGB,2022,12
VGB,2023,12
VGB,2024,12
VNM,2000,5
VNM,2001,5
VNM,2002,5
VNM,2003,5
VNM,2004,5
VNM,2005,9
VNM,2006,9
VNM,2007,9
VNM,2008,9
VNM,2009,9
VNM,2010,9
VNM,2011,9
VNM,2012,9
VNM,2013,9
VNM,2014,9
VNM,2015,9
VNM,2016,9
VNM,2017,9
VNM,2018,9
VNM,2019,9
VNM,2020,9
VNM,2021,9
VNM,2022,9
VNM,2023,9
VNM,2024,9
VUT,2000,0
VUT,2001,0
VUT,2002,0
VUT,2003,0
VUT,2004,0
VUT,2005,0
VUT,2006,0
VUT,2007,0
VUT,2008,0
VUT,2009,0
VUT,2010,0
VUT,2011,0
VUT,2012,0
VUT,2013,0
VUT,2014,0
VUT,2015,0
VUT,2016,0
VUT,2017,0
VUT,2018,0
VUT,2019,0
VUT,2020,0
VUT,2021,0
VUT,2022,0
VUT,2023,0
VUT,2024,0
WSM,2000,8
WSM,2001,8
WSM,2002,8
WSM,2003,8
WSM,2004,8
WSM,2005,8
WSM,2006,8
WSM,2007,8
WSM,2008,8
WSM,2009,8
WSM,2010,8
WSM,2011,8
WSM,2012,8
WSM,2013,8
WSM,2014,8
WSM,2015,8
WSM,2016,8
WSM,2017,8
WSM,2018,8
WSM,2019,8
WSM,2020,8
WSM,2021,8
WSM,2022,8
WSM,2023,8
WSM,2024,8
YEM,2000,9
YEM,2001,9
YEM,2002,9
YEM,2003,9
YEM,2004,9
YEM,2005,9
YEM,2006,9
YEM,2007,9
YEM,2008,9
YEM,2009,9
YEM,2010,9
YEM,2011,9
YEM,2012,9
YEM,2013,9
YEM,2014,9
YEM,2015,9
YEM,2016,9
YEM,2017,9
YEM,2018,9
YEM,2019,9
YEM,2020,9
YEM,2021,9
YEM,2022,9
YEM,2023,9
ZAF,2000,9
ZAF,2001,9
ZAF,2002,9
ZAF,2003,9
ZAF,2004,9
ZAF,2005,9
ZAF,2006,9
ZAF,2007,9
ZAF,2008,9
ZAF,2009,9
ZAF,2010,9
ZAF,2011,9
ZAF,2012,9
ZAF,2013,9
ZAF,2014,9
ZAF,2015,9
ZAF,2016,9
ZAF,2017,9
ZAF,2018,9
ZAF,2019,9
ZAF,2020,9
ZAF,2021,9
ZAF,2022,9
ZAF,2023,9
ZAF,2024,9
ZMB,2000,7
ZMB,2001,7
ZMB,2002,7
ZMB,2003,7
ZMB,2004,7
ZMB,2005,7
ZMB,2006,7
ZMB,2007,7
ZMB,2008,7
ZMB,2009,7
ZMB,2010,7
ZMB,2011,7
ZMB,2012,7
ZMB,2013,7
ZMB,2014,7
ZMB,2015,7
ZMB,2016,7
ZMB,2017,7
ZMB,2018,7
ZMB,2019,7
ZMB,2020,7
ZMB,2021,7
ZMB,2022,7
ZMB,2023,7
ZMB,2024,7
ZWE,2000,7
ZWE,2001,7
ZWE,2002,7
